"","cfa_1_wave1","cfa_2_wave1","cfa_2_re_wave1","cfa_bi_g_wave1","cfa_bi_s_wave1","cfa_3_wave1","cfa_1_wave2","cfa_2_wave2","cfa_2_re_wave2","cfa_bi_g_wave2","cfa_bi_s_wave2","cfa_3_wave2"
"PPGM_1",0.95,0.96,0.97,0.89,0.39,0.96,0.98,0.98,0.95,0.7,0.64,0.98
"PPGM_2",0.94,0.97,0.98,0.94,0.22,0.97,0.95,0.96,0.94,0.81,0.5,0.96
"PPGM_3",0.95,0.96,0.97,0.88,0.4,0.96,0.94,0.96,0.97,0.94,0.31,0.96
"PPGM_4",0.89,0.9,0.9,0.76,0.53,0.9,0.96,0.96,0.96,0.71,0.68,0.96
"PPGM_5",0.88,0.89,0.89,0.68,0.73,0.89,0.81,0.82,0.92,0.58,0.82,0.82
"PPGM_6",0.93,0.93,0.93,0.84,0.41,0.93,0.75,0.81,0.86,0.78,0.32,0.81
"PPGM_7",0.87,0.89,0.84,0.85,0.24,0.89,0.79,0.8,0.54,0.66,0.03,0.8
"PPGM_8",0.88,0.9,0.91,0.83,0.39,0.91,0.83,0.87,0.9,0.73,0.63,0.89
"PPGM_9",0.87,0.89,0.9,0.83,0.34,0.89,0.81,0.85,0.88,0.76,0.37,0.86
"PPGM_10",0.67,0.68,0.69,0.66,0.2,0.69,0.43,0.5,0.52,0.49,0.38,0.5
"PPGM_11",0.73,0.76,0.67,0.84,-0.37,0.76,0.69,0.77,0.55,0.56,0.16,0.78
"PPGM_12",0.7,0.71,0.72,0.64,0.41,0.75,0.63,0.67,0.69,0.57,0.43,0.71
"PPGM_13",0.92,0.95,0.96,0.9,0.34,0.99,0.85,0.89,0.92,0.84,0.3,0.94
"PPGM_14",0.86,0.87,0.88,0.82,0.31,0.9,0.82,0.86,0.87,0.82,0.21,0.9
